Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Value Iteration,130,163,137,16,16,10,13,14,11,10,9,13,16,9,11,9,10,10,9,13,10,11,10,22,11,12,15,11,13,11,9,19,9,9,10,10,11,12,11,11,10,11,10,20,11,14,9,10,11,9,11,12,10,10,12,12,10,11,15,10,9,10,17,9,9,10,11,9,10,15,14,11,9,11,10,13,14,9,24,10,9,10,10,10,10,11,13,13,9,9,17,10,12,9,11,9,9,11,9,9
Policy Iteration,162,233,48,13,12,13,25,12,9,10,12,14,11,12,10,13,16,13,18,16,12,15,10,13,12,14,14,11,11,12,10,12,14,10,10,9,11,13,14,9,10,13,15,12,11,9,9,11,14,12,13,11,10,14,12,9,9,22,11,11,10,10,9,12,13,11,10,11,12,13,13,11,9,13,9,12,10,13,15,16,11,10,9,12,16,13,11,9,10,10,10,15,11,13,12,11,11,10,13,15
Q Learning,113,59,23,44,43,44,21,11,42,11,15,9,16,9,11,9,12,20,9,9,17,11,17,9,10,13,19,11,16,14,34,17,10,10,11,11,11,11,16,10,14,16,12,20,32,16,20,11,10,12,15,13,15,26,23,10,12,16,12,11,22,12,53,11,27,42,16,57,11,10,13,18,16,17,21,13,14,9,10,12,10,10,11,12,17,16,10,21,12,12,14,12,13,14,14,10,10,9,12,12
Value Iteration_ms,162,17,13,21,16,19,16,23,8,7,4,7,4,4,4,11,8,5,9,6,7,10,9,14,5,5,5,6,10,6,8,10,8,6,22,17,12,21,7,7,9,10,13,11,12,7,8,12,11,8,8,25,42,19,24,25,25,14,11,9,9,9,12,10,11,12,13,10,11,12,12,11,11,11,11,29,26,29,25,23,20,12,15,13,15,13,16,15,15,17,14,16,14,14,15,14,14,14,17,15
Policy Iteration_ms,6,1,1,1,2,3,3,3,4,4,4,4,5,4,15,12,11,15,15,11,14,17,14,23,23,16,17,17,19,19,7,7,7,7,9,9,8,8,11,12,10,9,9,9,9,9,9,10,13,12,14,12,15,25,40,31,35,16,13,14,19,34,30,36,15,54,14,14,14,15,14,16,16,17,15,14,14,17,19,32,17,19,17,31,24,18,24,20,19,18,18,19,17,17,21,19,20,19,21,19
Q Learning_ms,16,3,2,4,9,6,11,4,5,4,4,7,6,8,22,10,7,8,4,6,8,4,5,4,6,6,9,8,6,10,9,7,5,10,9,11,9,5,6,5,5,4,6,6,6,7,7,6,12,5,4,4,4,4,4,4,5,4,5,5,4,5,7,5,5,4,5,5,4,5,8,6,6,5,5,5,6,8,5,5,8,5,7,5,6,8,10,8,6,6,7,7,8,6,6,6,5,7,7,7
