Iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Value Iteration,43851,4967,5482,11710,2205,339,291,31,25,24,26,25,31,32,26,29,28,25,25,28,29,31,33,27,30,27,24,26,32,37,26,29,28,34,28,29,24,32,37,32,27,35,26,29,23,22,31,25,27,30,30,36,30,30,24,31,25,26,30,28,31,28,27,35,46,26,35,24,23,32,23,31,28,39,29,25,26,36,32,32,26,34,38,25,28,35,31,32,30,34,29,28,26,27,30,22,30,29,24,23
Policy Iteration,9862,2922,519,3449,8577,57,220,85,36,28,29,26,24,33,28,35,31,27,25,24,24,22,30,31,28,28,39,32,32,38,35,27,27,24,32,22,39,40,25,30,26,27,24,35,28,25,33,38,28,35,25,26,28,38,31,30,23,30,23,28,24,31,38,31,25,25,26,24,28,30,32,27,30,29,40,31,26,22,29,34,29,30,30,28,34,26,28,25,40,37,29,30,29,38,37,30,25,26,24,26
Q Learning,1136,231,175,322,240,176,306,71,468,251,116,260,93,166,136,42,186,50,107,100,129,48,71,33,95,36,52,289,294,122,109,42,34,740,77,54,84,34,42,56,113,91,38,76,85,47,48,214,105,32,67,261,35,104,46,153,49,60,55,38,44,36,48,29,54,99,77,36,63,138,63,95,61,56,46,47,37,48,86,139,103,100,70,42,185,56,43,39,129,116,84,92,39,146,41,105,56,28,73,55
Value Iteration_ms,203,9,14,9,9,10,20,26,32,20,24,28,27,23,35,22,29,21,22,27,28,32,33,28,33,32,42,34,33,36,33,39,49,42,38,43,42,48,45,47,46,47,56,49,49,54,49,63,54,59,59,55,62,62,66,61,64,68,73,68,63,69,74,72,68,85,79,72,83,72,78,86,84,91,87,79,84,94,88,91,93,89,89,94,92,91,98,95,94,105,93,97,107,97,102,110,100,107,107,124
Policy Iteration_ms,10,6,9,14,14,18,19,30,26,25,24,29,33,36,33,43,36,40,44,49,47,47,54,75,54,61,68,67,61,68,69,76,78,78,79,76,80,89,85,88,99,93,93,104,96,99,111,100,115,108,116,110,123,117,130,134,135,139,144,145,136,143,152,148,157,144,155,158,162,153,156,154,162,161,165,161,171,174,176,175,176,190,195,191,196,200,204,205,205,200,198,204,205,206,205,216,212,219,214,219
Q Learning_ms,134,12,38,36,15,26,21,22,23,14,16,14,16,17,16,18,17,19,24,18,23,17,19,17,20,19,19,30,37,19,24,31,24,30,33,24,32,25,45,28,32,27,31,27,28,27,32,25,31,27,33,37,37,33,34,26,34,38,39,30,32,29,38,40,51,38,33,35,36,53,36,43,36,39,40,38,43,46,50,39,42,53,43,53,49,37,49,40,39,48,46,55,43,53,42,42,49,63,41,44
